Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,23.818424,91.28212,1.0404305e-05,23.8219,91.2757,Bardowali  Agartala - Tripura SPCB ,Agartala,4.31,37.76,71.25,1.88,31.39,0.23,0.16750969,6,0.7590310577130491
01-06-2024,24.01728,74.80688,1.05945355e-05,24.0317,74.7815,Pragati Nagar  Pratapgarh - RSPCB ,Pratapgarh,9.28,21.38,138.54,1.29,2.08,0.18,0.19048093,4,3.0360214920214754
01-06-2024,24.30698,80.7714,6.226445e-05,24.3025,80.7679,Sahilara  Maihar - KJS Cements ,Maihar,16.38,36.38,55.68,63.45,10.17,0.64,0.1865386,5,0.6102951785986771
01-06-2024,24.59303,76.148026,9.240273e-06,24.5968,76.1601,Rajlaxmi Nagar  Jhalawar - RSPCB ,Jhalawar,17.78,21.84,103.76,0.95,5.32,0.31,0.115,5,1.2921738673159189
01-06-2024,24.604385,76.187126,1.2253915e-05,24.5968,76.1601,Rajlaxmi Nagar  Jhalawar - RSPCB ,Jhalawar,17.78,21.84,103.76,0.95,5.32,0.31,0.12804762,5,2.863078468003949
01-06-2024,24.837027,92.77096,8.096818e-06,24.8333,92.778,Tarapur  Silchar - PCBA ,Silchar,11.51,23.21,44.3,3.71,5.74,0.48,0.18919618,5,0.8227155030291299
01-06-2024,25.091536,72.63395,1.1083555e-05,25.0854,72.6355,Mudtra Sili  Jalore - RSPCB ,Jalore,6.02,32.26,116.52,1.14,4.03,0.26,0.107755944,4,0.6974632413142295
01-06-2024,25.134905,75.82368,2.2211467e-05,25.1386,75.8389,Shrinath Puram  Kota - RSPCB ,Kota,13.51,42.13,76.42,6.18,4.89,0.95,0.12025308,5,1.5883990356320703
01-06-2024,25.146635,75.86351,1.5887765e-05,25.1386,75.8389,Shrinath Puram  Kota - RSPCB ,Kota,13.51,42.13,76.42,6.18,4.89,0.95,0.07738078,5,2.636306292139131
01-06-2024,25.195593,75.84956,2.3983253e-05,25.1816,75.8414,Dhanmandi  Kota - RSPCB ,Kota,16.32,19.61,92.14,7.27,12.33,0.15,0.17080021,5,1.754780000089301
